kernel,backend,family,file,status,detail,dtype
trimul_outproj_gemm_gate_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,untested,,bf16
trimul_outproj_layernorm_gemm_gate_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/back.py,untested,,bf16
qk_norm_rope_fwd_triton,triton,rope,miniworld_engine/kernels/rope/triton/qk_norm.py,ok,rel q=0.00e+00 k=0.00e+00 (band 8e-03 declared),bf16
qk_norm_rope_bwd_triton,triton,rope,miniworld_engine/kernels/rope/triton/qk_norm.py,ok,rel dq=4.93e-03 dk=4.02e-03 (band 8e-03 declared),bf16
swa_gate_out_fwd_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/swa.py,untested,,bf16
layernorm_linear_fwd_foldstats_sm90_cute,cute,layernorm_linear,miniworld_engine/kernels/layernorm_linear/cute/gemm_layernorm_linear.py,untested,,bf16
transition_swiglu_fwd_sm90_cute,cute,transition,miniworld_engine/kernels/transition/cute/gemm_transition_swiglu.py,untested,,bf16
transition_gate_bwd_sm90_cute,cute,transition,miniworld_engine/kernels/transition/cute/backward_gatebwd.py,untested,,bf16
transition_bwd_dx_sm90_cute,cute,transition,miniworld_engine/kernels/transition/cute/dab_lnbwd.py,untested,,bf16
layernorm_linear_bwd_dx_sm90_cute,cute,layernorm_linear,miniworld_engine/kernels/layernorm_linear/cute/dgrad_lnbwd.py,untested,,bf16
transition_fwd_b2b_sm90_cuda,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_b2b_kernel.cu,untested,,bf16
transition_expand_gate_sm90_cuda,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_expand_gate_kernel.cu,untested,,bf16
transition_bwd_gate_sm90_cuda,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_gatebwd_kernel.cu,untested,,bf16
trimul_inproj_masked_sm90_cute,cute,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/masked_front.py,untested,,bf16
transition_squeeze_residual_sm90_cute,cute,transition,miniworld_engine/kernels/transition/cute/squeeze_residual.py,untested,,bf16
trimul_output_bwd_rows_sm90_cute,cute,trimul_inproj,miniworld_engine/kernels/layernorm_linear/cute/dgrad_ln_rows.py,untested,,bf16
trimul_output_f567_train_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/output_fused.py,untested,,bf16
trimul_input_ln_residual_bwd_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/backward_fused.py,untested,,bf16
trimul_input_dual_bwd_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/backward_fused.py,untested,,bf16
transition_squeeze_residual_triton,triton,transition,miniworld_engine/kernels/transition/triton/residual.py,untested,,bf16
trimul_inproj_gemm_gate_mmajor_sm90_cute,cute,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/parity_front.py,untested,,bf16
trimul_output_f567_train_sm90_cute,cute,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/parity_f567.py,untested,,bf16
trimul_input_dual_bwd_sm90_cute,cute,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/parity_dual_bwd.py,untested,,bf16
