op,kernel,file,line,axis,accuracy,blk128,blk16,blk32,blk64,grid,mixed1,mixed2,warp4,warp8,grid_axis,loop_step,loop_extent,extent_bounded
triangle_attention_fwd_triton,_attn_fwd,miniworld_engine/kernels/triangle_attention/triton/main.py,33,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,0,1,N_CTX,1
trimul_bwd_gate_packed_recompute_triton,_dconcat_sig_kernel,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,143,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
trimul_bwd_gate_packed_triton,_dconcat_kernel,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,38,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
trimul_bwd_gate_recompute_triton,fused_sigmoid_gate_bwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,131,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,N,1
trimul_bwd_gate_recompute_triton,fused_sigmoid_gate_bwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,131,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_bwd_gate_recompute_triton,fused_sigmoid_gate_bwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,131,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_bwd_gate_recompute_triton,fused_sigmoid_gate_bwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,131,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
trimul_gemm_gate_mmajor_triton,_bidir_front_kernel,miniworld_engine/kernels/trimul_inproj/triton/bidirectional.py,66,BLOCK_K_D,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
trimul_gemm_gate_mmajor_triton,_bidir_front_kernel,miniworld_engine/kernels/trimul_inproj/triton/bidirectional.py,66,BLOCK_K_H2,64,128,16,32,64,16 32 64,64,32,64,64,0,1,H2,1
trimul_gemm_gate_mmajor_triton,_bidir_front_kernel,miniworld_engine/kernels/trimul_inproj/triton/bidirectional.py,66,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_gemm_gate_saveact_triton,_input_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,239,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,0
trimul_gemm_gate_saveact_triton,_input_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,239,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_gemm_gate_saveact_triton,_input_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,239,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_gemm_gate_saveact_triton,_input_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,239,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
trimul_gemm_gate_triton,fused_sigmoid_gate_fwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,38,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,N,1
trimul_gemm_gate_triton,fused_sigmoid_gate_fwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,38,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_gemm_gate_triton,fused_sigmoid_gate_fwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,38,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_gemm_gate_triton,fused_sigmoid_gate_fwd_kernel,miniworld_engine/kernels/tm1/triton/main.py,38,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
trimul_outproj_bwd_gate_recompute_triton,fused_sigmoid_gate2_bwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,100,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,N,1
trimul_outproj_bwd_gate_recompute_triton,fused_sigmoid_gate2_bwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,100,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_outproj_bwd_gate_recompute_triton,fused_sigmoid_gate2_bwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,100,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_outproj_bwd_gate_recompute_triton,fused_sigmoid_gate2_bwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,100,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
trimul_outproj_gemm_gate_saveact_triton,_output_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,405,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,0
trimul_outproj_gemm_gate_saveact_triton,_output_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,405,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_outproj_gemm_gate_saveact_triton,_output_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,405,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_outproj_gemm_gate_saveact_triton,_output_gated_gemm_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,405,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
trimul_outproj_gemm_gate_triton,fused_sigmoid_gate2_fwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,32,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,N,1
trimul_outproj_gemm_gate_triton,fused_sigmoid_gate2_fwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,32,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_outproj_gemm_gate_triton,fused_sigmoid_gate2_fwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,32,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
trimul_outproj_gemm_gate_triton,fused_sigmoid_gate2_fwd_kernel,miniworld_engine/kernels/tm2/triton/main.py,32,GROUP_M,1,1,1,1,1,1 4 16 65536,1,1,1,1,0,0,,
trimul_outproj_layernorm_gemm_gate_triton,_back_kernel,miniworld_engine/kernels/trimul_inproj/triton/back.py,62,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
trimul_outproj_layernorm_gemm_gate_triton,_back_kernel,miniworld_engine/kernels/trimul_inproj/triton/back.py,62,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
trimul_outproj_layernorm_gemm_gate_triton,_back_kernel,miniworld_engine/kernels/trimul_inproj/triton/back.py,62,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,0,1,N,1
