op,kernel,file,line,axis,accuracy,blk128,blk16,blk32,blk64,grid,mixed1,mixed2,warp4,warp8,grid_axis,loop_step,loop_extent,extent_bounded
layernorm_bwd_atomic_triton,layer_norm_bwd_dx_fused,miniworld_engine/kernels/layernorm/triton/main.py,158,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
layernorm_bwd_atomic_triton,layer_norm_bwd_dx_fused,miniworld_engine/kernels/layernorm/triton/main.py,158,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
layernorm_bwd_foldstats_triton,_transition_ln_bwd_kernel,miniworld_engine/kernels/transition/triton/fused.py,988,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,K,1
layernorm_bwd_foldstats_triton,_transition_ln_bwd_kernel,miniworld_engine/kernels/transition/triton/fused.py,988,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
layernorm_bwd_split_mmajor_triton,_ln_bwd_mmajor_kernel,miniworld_engine/kernels/layernorm_linear/triton/mmajor_bwd.py,59,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,1,1,N,1
layernorm_bwd_split_mmajor_triton,_ln_bwd_mmajor_kernel,miniworld_engine/kernels/layernorm_linear/triton/mmajor_bwd.py,59,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,0,0,,
layernorm_bwd_split_triton,_ln_bwd_persistent,miniworld_engine/kernels/layernorm/triton/persistent.py,57,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,1,1,N,1
layernorm_bwd_split_triton,_ln_bwd_persistent,miniworld_engine/kernels/layernorm/triton/persistent.py,57,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,0,0,,
layernorm_fwd_mmajor_triton,_ln_transpose_dbn_kernel,miniworld_engine/kernels/layernorm/triton/transpose.py,46,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,D,1
layernorm_fwd_mmajor_triton,_ln_transpose_dbn_kernel,miniworld_engine/kernels/layernorm/triton/transpose.py,46,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
layernorm_fwd_recompute_foldstats_triton,_xn_recompute_kernel,miniworld_engine/kernels/transition/cute/fused.py,41,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,K,1
layernorm_fwd_recompute_foldstats_triton,_xn_recompute_kernel,miniworld_engine/kernels/transition/cute/fused.py,41,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
layernorm_fwd_recompute_noaffine_triton,_xhat_kernel,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,69,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,K,1
layernorm_fwd_recompute_noaffine_triton,_xhat_kernel,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,69,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
layernorm_fwd_recompute_triton,_xnormed_kernel,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,21,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,K,1
layernorm_fwd_recompute_triton,_xnormed_kernel,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,21,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
layernorm_fwd_rowscale_triton,_fused_ln_mask_kernel,miniworld_engine/kernels/fused_ln_mask/cute/fused_ln_mask.py,51,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,D,1
layernorm_fwd_rowscale_triton,_fused_ln_mask_kernel,miniworld_engine/kernels/fused_ln_mask/cute/fused_ln_mask.py,51,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
layernorm_fwd_saveact_strided_triton,_ln_mat_kernel,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,98,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
layernorm_fwd_saveact_strided_triton,_ln_mat_kernel,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,98,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
layernorm_fwd_saveact_triton,layer_norm_fwd_fused,miniworld_engine/kernels/layernorm/triton/main.py,57,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
layernorm_fwd_saveact_triton,layer_norm_fwd_fused,miniworld_engine/kernels/layernorm/triton/main.py,57,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
layernorm_fwd_strided_triton,_ln_kernel,miniworld_engine/kernels/adaln/triton/ln_strided.py,55,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
