kernel,backend,family,kind,level,width,developed,dtypes,file,symbol,driver,check,rtol,arch,tuned_for
gated_projection_gate_triton,triton,gated_projection,elem,both,both,yes,bf16,miniworld_engine/kernels/gated_projection/triton/main.py,sigmoid_gate_fwd_kernel,miniworld_engine.kernels.drivers.gated_projection:gated_projection_gate_triton,miniworld_engine.kernels.checks.gated_projection:gated_projection_gate_triton,8.4e-3,sm80,
layernorm_bwd_split_cuda,cuda,layernorm,reduce,both,,,bf16|fp32,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,layer_norm_bwd_main_kernel,miniworld_engine.kernels.drivers.layernorm:layer_norm_bwd_main_kernel,miniworld_engine.kernels.checks.layernorm:layernorm_bwd_split_cuda,1.2e-2,sm80,
layernorm_bwd_reduce_cuda,cuda,layernorm,elem,both,,,bf16|fp32,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,layer_norm_bwd_reduce_kernel,miniworld_engine.kernels.drivers.layernorm:layer_norm_bwd_reduce_kernel,miniworld_engine.kernels.checks.layernorm:layernorm_bwd_reduce_cuda,9.5e-3,sm80,
layernorm_fwd_cuda,cuda,layernorm,reduce,both,,,bf16|fp32,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,layer_norm_fwd_kernel,miniworld_engine.kernels.drivers.layernorm:layer_norm_fwd_kernel,miniworld_engine.kernels.checks.layernorm:layernorm_fwd_cuda,1.1e-2,sm80,
layernorm_bwd_atomic_triton,triton,layernorm,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm/triton/main.py,layer_norm_bwd_dx_fused,miniworld_engine.kernels.drivers.layernorm:layernorm_bwd_atomic_triton,miniworld_engine.kernels.checks.layernorm:layernorm_bwd_atomic_triton,1.5e-2,sm80,
layernorm_bwd_split_triton,triton,layernorm,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm/triton/persistent.py,_ln_bwd_persistent,miniworld_engine.kernels.drivers.layernorm:layernorm_bwd_split_triton,miniworld_engine.kernels.checks.layernorm:layernorm_bwd_split_triton,1.2e-2,sm80,
layernorm_fwd_mmajor_triton,triton,layernorm,reduce,both,both,yes,bf16,miniworld_engine/kernels/layernorm/triton/transpose.py,_ln_transpose_dbn_kernel,miniworld_engine.kernels.drivers.layernorm:layernorm_fwd_mmajor_triton,miniworld_engine.kernels.checks.layernorm:layernorm_fwd_mmajor_triton,1.2e-2,sm80,
layernorm_fwd_saveact_triton,triton,layernorm,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm/triton/main.py,layer_norm_fwd_fused,miniworld_engine.kernels.drivers.layernorm:layernorm_fwd_saveact_triton,miniworld_engine.kernels.checks.layernorm:layernorm_fwd_saveact_triton,1.1e-2,sm80,
layernorm_linear_fwd_sm90_cute,cute,layernorm_linear,elem,both,,,bf16|fp32,miniworld_engine/kernels/layernorm_linear/cute/gemm_layernorm_linear_fused.py,GemmLNLFusedSm90.kernel,miniworld_engine.kernels.drivers.layernorm_linear:gemm_lnl_fused_sm90_kernel,miniworld_engine.kernels.checks.layernorm_linear:layernorm_linear_fwd_sm90_cute,,sm90,
layernorm_bwd_atomic_strided_triton,triton,layernorm_linear,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,_ln_bwd_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_bwd_atomic_strided_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_bwd_atomic_strided_triton,1.1e-2,sm80,
layernorm_bwd_split_mmajor_triton,triton,layernorm_linear,reduce,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/mmajor_bwd.py,_ln_bwd_mmajor_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_bwd_split_mmajor_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_bwd_split_mmajor_triton,1.1e-2,sm80,
layernorm_fwd_recompute_noaffine_triton,triton,layernorm_linear,elem,both,both,yes,bf16|fp32,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,_xhat_kernel,miniworld_engine.kernels.drivers.layernorm_linear:layernorm_fwd_recompute_noaffine_triton,miniworld_engine.kernels.checks.layernorm_linear:layernorm_fwd_recompute_noaffine_triton,1.4e-2,sm80,
